COUNTRY,FOUNDED,ID,INDUSTRY,LINKEDIN_URL,LOCALITY,NAME,REGION,SIZE,WEBSITE
united states,,protec-commercial-waterproofing-and-building-restoration,facilities services,linkedin.com/company/protec-commercial-waterproofing-and-building-restoration,east hanover,pro-tec commercial waterproofing and building restoration services,new jersey,11-50,proteconline.com
,,everteam-malaysia,,linkedin.com/company/everteam-malaysia,,everteam malaysia,,1-10,everteammalaysia.com
new zealand,2011,licensed-renovations,construction,linkedin.com/company/licensed-renovations,,licensed renovations,auckland,11-50,licensedrenovations.co.nz
brazil,,marmoraria-pedra-forte,,linkedin.com/company/marmoraria-pedra-forte,,marmoraria pedra forte,minas gerais,1-10,marmorariapedraforte.com.br
united states,,solid-sphere-llc,professional training & coaching,linkedin.com/company/solid-sphere-llc,seattle,solid sphere llc,washington,1-10,rebuildwithanshu.com
spain,,openupbarcelona,alternative dispute resolution,linkedin.com/company/openupbarcelona,barcelona,openup barcelona,catalonia,1-10,openupbarcelona.com
united kingdom,,graphic-design-centre-limited,education management,linkedin.com/company/graphic-design-centre-limited,epping,graphic design centre limited,essex,1-10,graphicdesigncentre.com
united states,2007,gftwesterndivision,transportation/trucking/railroad,linkedin.com/company/gftwesterndivision,gilbert,global fusion transportation - western division,arizona,11-50,facebook.com/gftwesterndivision
france,2020,la-minette-lingerie,retail,linkedin.com/company/la-minette-lingerie,vannes,la minette lingerie,bretagne,1-10,laminette-lingerie.com
united kingdom,,cleethorpes-lettings,hospitality,linkedin.com/company/cleethorpes-lettings,cleethorpes,cleethorpes lettings,north east lincolnshire,1-10,cleethorpeslettings.co.uk
united kingdom,2016,phari,management consulting,linkedin.com/company/phari,london,phari ltd,greater london,1-10,phari.co.uk
austria,1829,first-ddsg-logistics-holding-gmbh,,linkedin.com/company/first-ddsg-logistics-holding-gmbh,,first-ddsg logistics holding gmbh,vienna,51-200,ddsg-holding.com
turkey,,demir-emlak,real estate,linkedin.com/company/demir-emlak,,demir emlak,ankara,1-10,demir-emlak-real-estate-agency.business.site
canada,,resilient-colleges,higher education,linkedin.com/company/resilient-colleges,hamilton,canadian colleges for a resilient recovery,ontario,1-10,resilientcolleges.ca
united states,2018,system-integration-solutions,,linkedin.com/company/system-integration-solutions,santa rosa,system integration solutions,california,51-200,sysintsol.com
india,,lithops-technologies-pvt-ltd,computer software,linkedin.com/company/lithops-technologies-pvt-ltd,new delhi,lithops technologies pvt ltd,delhi,11-50,lithopstech.com
united states,,michael-herrera-dds,medical practice,linkedin.com/company/michael-herrera-dds,reno,"michael herrera, dds",nevada,1-10,michaelherreradds.com
united states,2019,apg-creative-ltd,design,linkedin.com/company/apg-creative-ltd,atlanta,abel paul george,georgia,1-10,abelpaulgeorge.com
australia,,creative-kinesiology,"health, wellness and fitness",linkedin.com/company/creative-kinesiology,elwood,creative kinesiology,victoria,1-10,creativekinesiology.com.au
india,2021,superbuiltcarpet,real estate,linkedin.com/company/superbuiltcarpet,jaipur,superbuiltcarpet.com,rajasthan,11-50,superbuiltcarpet.com
united states,,coastal-field-hockey,sports,linkedin.com/company/coastal-field-hockey,,coastal field hockey,maine,1-10,coastalfieldhockey.com
united states,2017,allstar-guru,,linkedin.com/company/allstar-guru,wimberley,allstar.guru,texas,1-10,allstar.guru
india,2022,weaarambh,staffing and recruiting,linkedin.com/company/weaarambh,lucknow,weaarambh,uttar pradesh,1-10,weaarambh.co.in
united states,2022,itcqaqc,mechanical or industrial engineering,linkedin.com/company/itcqaqc,miami,qa/qc international technology corporation,florida,1-10,ndtxstore.com
canada,,ross-agri-store,oil & energy,linkedin.com/company/ross-agri-store,ashton,ross agri store,ontario,11-50,rossagri.com
,,isabel-nardon-advocacia-customizada,legal services,linkedin.com/company/isabel-nardon-advocacia-customizada,,isabel nardon - advocacia customizada,,1-10,isabelnardon.adv.br
,,winter-haven-co,,linkedin.com/company/winter-haven-co,,winter haven co,,1-10,winterhavenco.com
germany,,synergiaindustrieverpackung,,linkedin.com/company/synergiaindustrieverpackung,oberhausen,synergia industrieverpackung gmbh & co. kg,nordrhein-westfalen,11-50,synergia-industrieverpackung.de
netherlands,1968,schildersbedrijfvandevischbv,construction,linkedin.com/company/schildersbedrijfvandevischbv,,schildersbedrijf van de visch bv,,1-10,vandevisch.nl
greece,1971,dryllerakis-&-associates,legal services,linkedin.com/company/dryllerakis-&-associates,,dryllerakis & associates,,11-50,dryllerakis.gr
indonesia,2016,star-taekwondo-club,sports,linkedin.com/company/star-taekwondo-club,belitung,star taekwondo club,central java,11-50,
united states,,bull-&-bush-brewery,restaurants,linkedin.com/company/bull-&-bush-brewery,denver,bull & bush brewery,colorado,11-50,
netherlands,,café-‘n-tip,restaurants,linkedin.com/company/café-‘n-tip,daarle,café ‘n tip,provincie overijssel,1-10,ntip.nl
ireland,1996,michael-lyng-motors,automotive,linkedin.com/company/michael-lyng-motors,kilkenny,michael lyng motors,leinster,51-200,lyngmotors.ie
united states,,all-tex-towing,,linkedin.com/company/all-tex-towing,san antonio,all tex towing,texas,1-10,alltextowing.com
turkey,2021,pencyclopedia,,linkedin.com/company/pencyclopedia,,pencyclopedia,istanbul,1-10,pencyclopedia.org
italy,,studiolegalepenco,legal services,linkedin.com/company/studiolegalepenco,milan,studio legale penco,lombardia,11-50,studiopenco.it
suriname,,issstep,,linkedin.com/company/issstep,,issstep,,201-500,
south africa,,bongs-hair-salon,,linkedin.com/company/bongs-hair-salon,pietermaritzburg,bongs hair salon,kwazulu-natal,1-10,
france,,sarl-le-gout-des-choses,restaurants,linkedin.com/company/sarl-le-gout-des-choses,chevagnes,sarl le gout des choses,auvergne-rhône-alpes,1-10,
belgium,,van-neylen-betonvloeren,construction,linkedin.com/company/van-neylen-betonvloeren,westerlo,van neylen betonvloeren,antwerpen,1-10,
india,2010,flex-cg-services,,linkedin.com/company/flex-cg-services,indore,flex cg services,madhya pradesh,11-50,flexcgs.com
france,2017,yourpartnersentrepriselyon,,linkedin.com/company/yourpartnersentrepriselyon,lyon,your partners,auvergne-rhône-alpes,11-50,yourpartners.fr
,2015,webchartmd,,linkedin.com/company/webchartmd,,webchartmd,,1-10,webchartmd.org
netherlands,2000,slootjeskraanbedrijf,transportation/trucking/railroad,linkedin.com/company/slootjeskraanbedrijf,,slootjes kraanbedrijf,,11-50,slootjeskraanbedrijf.nl
czechia,2010,jjphotostudio,photography,linkedin.com/company/jjphotostudio,česká lípa,jj photo studio,liberecky,1-10,sjphoto.cz
united kingdom,,j.-&-t.-contractors-south-east-limited,construction,linkedin.com/company/j.-&-t.-contractors-south-east-limited,herne bay,j. & t. contractors (south east) limited,kent,1-10,
belgium,,mastertex,,linkedin.com/company/mastertex,anderlecht,mastertex,brussels capital,1-10,
latvia,2007,windows-factory,building materials,linkedin.com/company/windows-factory,,windows factory,,51-200,
canada,,frank's-auto-repair-1996-,individual & family services,linkedin.com/company/frank's-auto-repair-1996-,prince rupert,frank's auto repair (1996),british columbia,1-10,
united states,,bankerswest-funding-corp,real estate,linkedin.com/company/bankerswest-funding-corp,rowland heights,bankerswest funding corp,california,11-50,
france,,tahon-aude,performing arts,linkedin.com/company/tahon-aude,vanves,tahon aude,ile-de-france,1-10,
canada,,small-town-vapes,retail,linkedin.com/company/small-town-vapes,burns lake,small town vapes,british columbia,51-200,
india,2018,j2vestures,"health, wellness and fitness",linkedin.com/company/j2vestures,,j2 vestures,,1-10,toodhu.com
netherlands,,atelier-van-de-ziel,,linkedin.com/company/atelier-van-de-ziel,arnhem,atelier van de ziel,gelderland,1-10,ateliervandeziel.nl
brazil,,tranquility-commodities,,linkedin.com/company/tranquility-commodities,,tranquility commodities,,1-10,tranquilitycommodities.com.br
indonesia,,elektron-hme-itb,media production,linkedin.com/company/elektron-hme-itb,bandung,elektron hme,jawa barat,11-50,medium.com/@elektronhme
pakistan,,notrox-instruments,medical devices,linkedin.com/company/notrox-instruments,sialkot,notrox instruments,punjab,51-200,notroxinstruments.com
united kingdom,,scootow,consumer goods,linkedin.com/company/scootow,,scootow,,1-10,scootow.com
belgium,,jomafru,farming,linkedin.com/company/jomafru,borgloon,jomafru,limburg province,1-10,
france,,eurl-myriam-mathion,,linkedin.com/company/eurl-myriam-mathion,,eurl myriam mathion,,1-10,
united states,,studio-hibiki,broadcast media,linkedin.com/company/studio-hibiki,mountain view,studio hibiki,california,1-10,
pakistan,2023,crazeofprogramming,,linkedin.com/company/crazeofprogramming,,craze of programming,punjab,11-50,
mexico,2013,nekomimicon-producciones,events services,linkedin.com/company/nekomimicon-producciones,tepic,nekomimicon producciones,nayarit,11-50,
,,something-contemporary-marbella-sl,,linkedin.com/company/something-contemporary-marbella-sl,,something contemporary marbella sl,,1-10,
united kingdom,,harrison-spinks-beds-ltd,furniture,linkedin.com/company/harrison-spinks-beds-ltd,leeds,harrison spinks beds ltd,leeds,1-10,
,,ses-sarl,individual & family services,linkedin.com/company/ses-sarl,,ses sarl,,1-10,
brazil,,passione-store,,linkedin.com/company/passione-store,sao jose dos campos,passione store,sao paulo,1-10,
france,,association-de-gestion-du-restaurant-inter-administratif-de-quimper,restaurants,linkedin.com/company/association-de-gestion-du-restaurant-inter-administratif-de-quimper,quimper,association de gestion du restaurant inter-administratif de quimper,bretagne,1-10,
united kingdom,,prime-chiropractic,"health, wellness and fitness",linkedin.com/company/prime-chiropractic,,prime chiropractic,,1-10,primechiropractic.co.uk
united states,,medforce-pro,staffing and recruiting,linkedin.com/company/medforce-pro,raleigh,medforcepro,north carolina,11-50,medforcepro.com
israel,,steinberg-co-law-office,law practice,linkedin.com/company/steinberg-co-law-office,,steinberg & co.,jerusalem,1-10,ys-law.co.il
brazil,,vita-corpus-pilates-studio,,linkedin.com/company/vita-corpus-pilates-studio,praia grande,vita corpus pilates studio,sao paulo,1-10,vitacorpusstudiopilates.vitrinevirtual.net
spain,,alonso-de-linaje,investment management,linkedin.com/company/alonso-de-linaje,valladolid,alonso de linaje,castilla y leon,1-10,cesceleon.es
,2015,wheels-of-nature,,linkedin.com/company/wheels-of-nature,,wheels of nature,,1-10,instagram.com/wheelsofnature
germany,,chora-travel,,linkedin.com/company/chora-travel,,chora travel,,1-10,choratravel.com
brazil,,instituto-de-previdência-municipal-de-igaci,government administration,linkedin.com/company/instituto-de-previdência-municipal-de-igaci,igaci,instituto de previdência municipal de igaci,alagoas,1-10,
united states,,allan-trucking-llc,,linkedin.com/company/allan-trucking-llc,jackson,allan trucking llc,michigan,1-10,
,,ev-rise-marketing,,linkedin.com/company/ev-rise-marketing,,ev rise marketing,,1-10,
,1985,chant-group-inc.,mining & metals,linkedin.com/company/chant-group-inc.,,chant group inc.,,1001-5000,
papua new guinea,2015,systech-solutions-ltd,information technology and services,linkedin.com/company/systech-solutions-ltd,,"systech solutions ltd ""many challenges, one solution""",,1-10,
,,mathshubau,,linkedin.com/company/mathshubau,,mathshub,,1-10,
south africa,,aftab-trading,,linkedin.com/company/aftab-trading,lenasia,aftab trading,gauteng,1-10,
united states,,pain-care-clinics,airlines/aviation,linkedin.com/company/pain-care-clinics,palestine,pain care clinics,texas,1-10,
india,,goti-entertainment,media production,linkedin.com/company/goti-entertainment,ahmadabad,goti entertainment,gujarat,51-200,
,,tante-toos-sl,restaurants,linkedin.com/company/tante-toos-sl,,tante toos sl,,11-50,
,,tamar-las-arenas-sa,restaurants,linkedin.com/company/tamar-las-arenas-sa,,tamar las arenas sa,,1001-5000,
chile,,comercial-e-inversiones-maxprochile-limitada,utilities,linkedin.com/company/comercial-e-inversiones-maxprochile-limitada,santiago,comercial e inversiones maxprochile limitada,santiago metropolitan,1-10,
south africa,,innovation-based-enterprises-south-africa,,linkedin.com/company/innovation-based-enterprises-south-africa,pretoria,innovation based enterprises south africa,gauteng,1-10,
italy,,fral-immobiliare---s.p.a.,real estate,linkedin.com/company/fral-immobiliare---s.p.a.,,fral immobiliare - s.p.a.,latium,11-50,
united kingdom,,stylo-fashion-limited,import and export,linkedin.com/company/stylo-fashion-limited,cheshire,stylo fashion limited,cheshire,11-50,
india,2017,actovis,information technology and services,linkedin.com/company/actovis,bengaluru,actovis corp,karnataka,1-10,
spain,,value-process-srl,information technology and services,linkedin.com/company/value-process-srl,,value process srl,madrid,11-50,
spain,,papereria-amb2-sl,retail,linkedin.com/company/papereria-amb2-sl,forallac,papereria amb2 sl,catalonia,1-10,
france,,s.a.r.l.-transport-du-couesnon,,linkedin.com/company/s.a.r.l.-transport-du-couesnon,vieux-vy-sur-couesnon,s.a.r.l. transport du couesnon,brittany,1-10,
sweden,,k.a.-backlunds-maskinaffär-ab,,linkedin.com/company/k.a.-backlunds-maskinaffär-ab,sollebrunn,k.a. backlunds maskinaffär ab,vastra gotaland,11-50,
,,sos-sportswear,,linkedin.com/company/sos-sportswear,,sos sportswear,,1-10,
pakistan,2017,property-managers-pk,real estate,linkedin.com/company/property-managers-pk,,property managers pk,,1-10,propertymanagers.pk
germany,,seffner-umzüge,,linkedin.com/company/seffner-umzüge,rostock,seffner umzüge,mecklenburg-vorpommern,11-50,seffner-umzuege.de
sweden,2009,quality-travel-of-scandinavia,,linkedin.com/company/quality-travel-of-scandinavia,vaxjo,quality travel of scandinavia,kronobergs lan,1-10,qtravel.se
portugal,2018,inédita-home-care-treatment-services,,linkedin.com/company/inédita-home-care-treatment-services,pinhal novo,inédita - reabilitação clínica e domiciliária,setubal,11-50,inedita.pt
new zealand,1998,granite-workshop-ltd,construction,linkedin.com/company/granite-workshop-ltd,glenfield,granite workshop,auckland,11-50,graniteworkshop.co.nz
united states,1977,independent-cat-society,veterinary,linkedin.com/company/independent-cat-society,westville,independent cat society,indiana,201-500,catsociety.org
united states,,taurus-staffing-inc,staffing and recruiting,linkedin.com/company/taurus-staffing-inc,knoxville,taurus staffing inc.,tennessee,51-200,taurus-staffing.com
united states,,south-central-sealcoat,construction,linkedin.com/company/south-central-sealcoat,waterville,south central sealcoat,minnesota,1-10,southcentralsealcoat.biz
poland,,dobra-projektownia,design,linkedin.com/company/dobra-projektownia,,dobra projektownia,,1-10,dobraprojektownia.pl
netherlands,1929,hoekstra-kwaliteit-in-logistiek,,linkedin.com/company/hoekstra-kwaliteit-in-logistiek,,hoekstra kwaliteit in logistiek,,51-200,hoekstrasneek.nl
new zealand,,epulse-electrical-ltd-,electrical/electronic manufacturing,linkedin.com/company/epulse-electrical-ltd-,tauranga,epulse electrical ltd.,bay of plenty,11-50,epulse.co.nz
spain,,autovedra-automocion-sl,retail,linkedin.com/company/autovedra-automocion-sl,pontevedra,autovedra automocion sl,galicia,11-50,autovedra.es
,2015,provit-pharmaceuticals,,linkedin.com/company/provit-pharmaceuticals,,provit pharmaceuticals,,11-50,provitpharmaceuticals-al.com
,2021,big-click-circus,,linkedin.com/company/big-click-circus,,big click circus,,1-10,bigclick.pl
serbia,2012,digital-spot-studio-retouching-duo,photography,linkedin.com/company/digital-spot-studio-retouching-duo,belgrade,digital spot studio,central serbia,1-10,digitalspotstudio.com
united states,,graham-plumbing,building materials,linkedin.com/company/graham-plumbing,festus,graham plumbing,missouri,11-50,
spain,,promociones-la-fontanilla-2006-sl,construction,linkedin.com/company/promociones-la-fontanilla-2006-sl,logroño,promociones la fontanilla 2006 sl,la rioja,11-50,
united states,2008,west-central-tree-services-l.l.c.,,linkedin.com/company/west-central-tree-services-l.l.c.,stuart,"west central tree services, l.l.c.",iowa,11-50,
united states,,deichmueller-construction-co,construction,linkedin.com/company/deichmueller-construction-co,la salle,deichmueller construction co,illinois,1-10,
singapore,2007,puricareprivatelimited,"health, wellness and fitness",linkedin.com/company/puricareprivatelimited,singapore,puricare private limited,central singapore,1-10,
china,,兰州瑞京糖尿病医院-普通合伙-,,linkedin.com/company/兰州瑞京糖尿病医院-普通合伙-,sheng,兰州瑞京糖尿病医院(普通合伙),xizang,1-10,xbtnb.com
italy,2013,gt-art-photo-agency,photography,linkedin.com/company/gt-art-photo-agency,milan,gt art photo agency,milan,1-10,gtartphotoagency.com
india,,kaizen-globe,information technology and services,linkedin.com/company/kaizen-globe,mumbai,kaizen globe,maharashtra,11-50,kaizenglobe.com
india,,vishal-builders-pvt-ltd,,linkedin.com/company/vishal-builders-pvt-ltd,new delhi,vishal builders pvt ltd,delhi,1-10,
,,saraswati-printing-press,,linkedin.com/company/saraswati-printing-press,,saraswati printing press,,1-10,
france,,aux-saveurs-du-sénégal,restaurants,linkedin.com/company/aux-saveurs-du-sénégal,morlaix,aux saveurs du sénégal,brittany,1-10,
,2010,dr-pranab-jyoti-bhattacharyya-md-dm-ayursundra-advanced-cardiac-centre-guwahati,medical practice,linkedin.com/company/dr-pranab-jyoti-bhattacharyya-md-dm-ayursundra-advanced-cardiac-centre-guwahati,,"dr pranab jyoti bhattacharyya, md, dm ayursundra advanced cardiac centre, guwahati",,201-500,
,,globapp,,linkedin.com/company/globapp,,globapp soft & tech,,1-10,
united kingdom,,granfield-interiors-limited,construction,linkedin.com/company/granfield-interiors-limited,bedworth,granfield interiors limited,warwickshire,1-10,
,,the-summit-consulting-group-inc-,,linkedin.com/company/the-summit-consulting-group-inc-,,the summit consulting group inc.,,1-10,
united states,,teamworks-acton,"health, wellness and fitness",linkedin.com/company/teamworks-acton,acton,teamworks-acton,massachusetts,1-10,
